EPOCH                                      MMS4_R_GEO_X                MMS4_R_GEO_Y                MMS4_R_GEO_Z                MMS4_V_GEO_X                MMS4_V_GEO_Y                MMS4_V_GEO_Z
dd-mm-yyyy hh:mm:ss.mil.mic                          km                          km                          km                        km/s                        km/s                        km/s
09-12-2016 09:00:03.310.000                     35850.5                     58932.9                    -27909.6                   -0.515306                    0.982305                    0.123929
09-12-2016 09:00:03.340.000                     35850.6                     58932.9                    -27909.6                   -0.515305                    0.982304                    0.123930
09-12-2016 09:00:03.370.000                     35850.7                     58932.8                    -27909.6                   -0.515304                    0.982304                    0.123931
09-12-2016 09:00:03.400.000                     35850.8                     58932.8                    -27909.6                   -0.515303                    0.982303                    0.123931
09-12-2016 09:00:03.430.000                     35850.9                     58932.7                    -27909.6                   -0.515301                    0.982302                    0.123932
09-12-2016 09:00:03.460.000                     35851.0                     58932.7                    -27909.6                   -0.515300                    0.982302                    0.123933
09-12-2016 09:00:03.490.000                     35851.1                     58932.6                    -27909.6                   -0.515299                    0.982301                    0.123934
09-12-2016 09:00:03.520.000                     35851.3                     58932.6                    -27909.6                   -0.515298                    0.982301                    0.123935
09-12-2016 09:00:03.550.000                     35851.4                     58932.5                    -27909.6                   -0.515297                    0.982300                    0.123935
09-12-2016 09:00:03.580.000                     35851.5                     58932.5                    -27909.6                   -0.515296                    0.982300                    0.123936
09-12-2016 09:00:03.610.000                     35851.6                     58932.4                    -27909.6                   -0.515295                    0.982299                    0.123937
09-12-2016 09:00:03.640.000                     35851.7                     58932.4                    -27909.6                   -0.515294                    0.982298                    0.123938
09-12-2016 09:00:03.670.000                     35851.8                     58932.3                    -27909.6                   -0.515293                    0.982298                    0.123939
09-12-2016 09:00:03.700.000                     35851.9                     58932.3                    -27909.6                   -0.515291                    0.982297                    0.123940
09-12-2016 09:00:03.730.000                     35852.1                     58932.2                    -27909.6                   -0.515290                    0.982297                    0.123940
09-12-2016 09:00:03.760.000                     35852.2                     58932.2                    -27909.6                   -0.515289                    0.982296                    0.123941
09-12-2016 09:00:03.790.000                     35852.3                     58932.1                    -27909.6                   -0.515288                    0.982295                    0.123942
09-12-2016 09:00:03.820.000                     35852.4                     58932.1                    -27909.6                   -0.515287                    0.982295                    0.123943
09-12-2016 09:00:03.850.000                     35852.5                     58932.0                    -27909.6                   -0.515286                    0.982294                    0.123944
09-12-2016 09:00:03.880.000                     35852.6                     58932.0                    -27909.6                   -0.515285                    0.982294                    0.123944
09-12-2016 09:00:03.910.000                     35852.7                     58931.9                    -27909.6                   -0.515284                    0.982293                    0.123945
09-12-2016 09:00:03.940.000                     35852.8                     58931.9                    -27909.6                   -0.515283                    0.982293                    0.123946
09-12-2016 09:00:03.970.000                     35853.0                     58931.8                    -27909.6                   -0.515282                    0.982292                    0.123947
09-12-2016 09:00:04.000.000                     35853.1                     58931.8                    -27909.5                   -0.515280                    0.982291                    0.123948
09-12-2016 09:00:04.030.000                     35853.2                     58931.7                    -27909.5                   -0.515279                    0.982291                    0.123948
09-12-2016 09:00:04.060.000                     35853.3                     58931.7                    -27909.5                   -0.515278                    0.982290                    0.123949
09-12-2016 09:00:04.090.000                     35853.4                     58931.6                    -27909.5                   -0.515277                    0.982290                    0.123950
09-12-2016 09:00:04.120.000                     35853.5                     58931.6                    -27909.5                   -0.515276                    0.982289                    0.123951
09-12-2016 09:00:04.150.000                     35853.6                     58931.5                    -27909.5                   -0.515275                    0.982288                    0.123952
09-12-2016 09:00:04.180.000                     35853.8                     58931.5                    -27909.5                   -0.515274                    0.982288                    0.123953
09-12-2016 09:00:04.210.000                     35853.9                     58931.4                    -27909.5                   -0.515273                    0.982287                    0.123953
09-12-2016 09:00:04.240.000                     35854.0                     58931.4                    -27909.5                   -0.515272                    0.982287                    0.123954
09-12-2016 09:00:04.270.000                     35854.1                     58931.3                    -27909.5                   -0.515270                    0.982286                    0.123955
09-12-2016 09:00:04.300.000                     35854.2                     58931.3                    -27909.5                   -0.515269                    0.982286                    0.123956
09-12-2016 09:00:04.330.000                     35854.3                     58931.2                    -27909.5                   -0.515268                    0.982285                    0.123957
09-12-2016 09:00:04.360.000                     35854.4                     58931.2                    -27909.5                   -0.515267                    0.982284                    0.123957
09-12-2016 09:00:04.390.000                     35854.5                     58931.1                    -27909.5                   -0.515266                    0.982284                    0.123958
09-12-2016 09:00:04.420.000                     35854.7                     58931.1                    -27909.5                   -0.515265                    0.982283                    0.123959
09-12-2016 09:00:04.450.000                     35854.8                     58931.0                    -27909.5                   -0.515264                    0.982283                    0.123960
09-12-2016 09:00:04.480.000                     35854.9                     58931.0                    -27909.5                   -0.515263                    0.982282                    0.123961
09-12-2016 09:00:04.510.000                     35855.0                     58930.9                    -27909.5                   -0.515262                    0.982281                    0.123961
09-12-2016 09:00:04.540.000                     35855.1                     58930.9                    -27909.5                   -0.515260                    0.982281                    0.123962
09-12-2016 09:00:04.570.000                     35855.2                     58930.9                    -27909.5                   -0.515259                    0.982280                    0.123963
09-12-2016 09:00:04.600.000                     35855.3                     58930.8                    -27909.5                   -0.515258                    0.982280                    0.123964
09-12-2016 09:00:04.630.000                     35855.5                     58930.8                    -27909.5                   -0.515257                    0.982279                    0.123965
09-12-2016 09:00:04.660.000                     35855.6                     58930.7                    -27909.5                   -0.515256                    0.982279                    0.123965
09-12-2016 09:00:04.690.000                     35855.7                     58930.7                    -27909.5                   -0.515255                    0.982278                    0.123966
09-12-2016 09:00:04.720.000                     35855.8                     58930.6                    -27909.5                   -0.515254                    0.982277                    0.123967
09-12-2016 09:00:04.750.000                     35855.9                     58930.6                    -27909.5                   -0.515253                    0.982277                    0.123968
09-12-2016 09:00:04.780.000                     35856.0                     58930.5                    -27909.5                   -0.515252                    0.982276                    0.123969
09-12-2016 09:00:04.810.000                     35856.1                     58930.5                    -27909.4                   -0.515250                    0.982276                    0.123970
09-12-2016 09:00:04.840.000                     35856.2                     58930.4                    -27909.4                   -0.515249                    0.982275                    0.123970
09-12-2016 09:00:04.870.000                     35856.4                     58930.4                    -27909.4                   -0.515248                    0.982274                    0.123971
09-12-2016 09:00:04.900.000                     35856.5                     58930.3                    -27909.4                   -0.515247                    0.982274                    0.123972
09-12-2016 09:00:04.930.000                     35856.6                     58930.3                    -27909.4                   -0.515246                    0.982273                    0.123973
09-12-2016 09:00:04.960.000                     35856.7                     58930.2                    -27909.4                   -0.515245                    0.982273                    0.123974
09-12-2016 09:00:04.990.000                     35856.8                     58930.2                    -27909.4                   -0.515244                    0.982272                    0.123974
09-12-2016 09:00:05.020.000                     35856.9                     58930.1                    -27909.4                   -0.515243                    0.982272                    0.123975
09-12-2016 09:00:05.050.000                     35857.0                     58930.1                    -27909.4                   -0.515242                    0.982271                    0.123976
09-12-2016 09:00:05.080.000                     35857.2                     58930.0                    -27909.4                   -0.515240                    0.982270                    0.123977
09-12-2016 09:00:05.110.000                     35857.3                     58930.0                    -27909.4                   -0.515239                    0.982270                    0.123978
09-12-2016 09:00:05.140.000                     35857.4                     58929.9                    -27909.4                   -0.515238                    0.982269                    0.123978
09-12-2016 09:00:05.170.000                     35857.5                     58929.9                    -27909.4                   -0.515237                    0.982269                    0.123979
09-12-2016 09:00:05.200.000                     35857.6                     58929.8                    -27909.4                   -0.515236                    0.982268                    0.123980
09-12-2016 09:00:05.230.000                     35857.7                     58929.8                    -27909.4                   -0.515235                    0.982267                    0.123981
09-12-2016 09:00:05.260.000                     35857.8                     58929.7                    -27909.4                   -0.515234                    0.982267                    0.123982
09-12-2016 09:00:05.290.000                     35858.0                     58929.7                    -27909.4                   -0.515233                    0.982266                    0.123982
09-12-2016 09:00:05.320.000                     35858.1                     58929.6                    -27909.4                   -0.515232                    0.982266                    0.123983
09-12-2016 09:00:05.350.000                     35858.2                     58929.6                    -27909.4                   -0.515231                    0.982265                    0.123984
09-12-2016 09:00:05.380.000                     35858.3                     58929.5                    -27909.4                   -0.515229                    0.982265                    0.123985
09-12-2016 09:00:05.410.000                     35858.4                     58929.5                    -27909.4                   -0.515228                    0.982264                    0.123986
09-12-2016 09:00:05.440.000                     35858.5                     58929.4                    -27909.4                   -0.515227                    0.982263                    0.123987
09-12-2016 09:00:05.470.000                     35858.6                     58929.4                    -27909.4                   -0.515226                    0.982263                    0.123987
09-12-2016 09:00:05.500.000                     35858.7                     58929.3                    -27909.4                   -0.515225                    0.982262                    0.123988
09-12-2016 09:00:05.530.000                     35858.9                     58929.3                    -27909.4                   -0.515224                    0.982262                    0.123989
09-12-2016 09:00:05.560.000                     35859.0                     58929.2                    -27909.4                   -0.515223                    0.982261                    0.123990
09-12-2016 09:00:05.590.000                     35859.1                     58929.2                    -27909.4                   -0.515222                    0.982260                    0.123991
09-12-2016 09:00:05.620.000                     35859.2                     58929.1                    -27909.3                   -0.515221                    0.982260                    0.123991
09-12-2016 09:00:05.650.000                     35859.3                     58929.1                    -27909.3                   -0.515219                    0.982259                    0.123992
09-12-2016 09:00:05.680.000                     35859.4                     58929.0                    -27909.3                   -0.515218                    0.982259                    0.123993
09-12-2016 09:00:05.710.000                     35859.5                     58929.0                    -27909.3                   -0.515217                    0.982258                    0.123994
09-12-2016 09:00:05.740.000                     35859.7                     58928.9                    -27909.3                   -0.515216                    0.982258                    0.123995
09-12-2016 09:00:05.770.000                     35859.8                     58928.9                    -27909.3                   -0.515215                    0.982257                    0.123995
09-12-2016 09:00:05.800.000                     35859.9                     58928.8                    -27909.3                   -0.515214                    0.982256                    0.123996
09-12-2016 09:00:05.830.000                     35860.0                     58928.8                    -27909.3                   -0.515213                    0.982256                    0.123997
09-12-2016 09:00:05.860.000                     35860.1                     58928.7                    -27909.3                   -0.515212                    0.982255                    0.123998
09-12-2016 09:00:05.890.000                     35860.2                     58928.7                    -27909.3                   -0.515211                    0.982255                    0.123999
09-12-2016 09:00:05.920.000                     35860.3                     58928.6                    -27909.3                   -0.515209                    0.982254                    0.123999
09-12-2016 09:00:05.950.000                     35860.4                     58928.6                    -27909.3                   -0.515208                    0.982253                    0.124000
09-12-2016 09:00:05.980.000                     35860.6                     58928.5                    -27909.3                   -0.515207                    0.982253                    0.124001
09-12-2016 09:00:06.010.000                     35860.7                     58928.5                    -27909.3                   -0.515206                    0.982252                    0.124002
09-12-2016 09:00:06.040.000                     35860.8                     58928.5                    -27909.3                   -0.515205                    0.982252                    0.124003
09-12-2016 09:00:06.070.000                     35860.9                     58928.4                    -27909.3                   -0.515204                    0.982251                    0.124004
09-12-2016 09:00:06.100.000                     35861.0                     58928.4                    -27909.3                   -0.515203                    0.982251                    0.124004
09-12-2016 09:00:06.130.000                     35861.1                     58928.3                    -27909.3                   -0.515202                    0.982250                    0.124005
09-12-2016 09:00:06.160.000                     35861.2                     58928.3                    -27909.3                   -0.515201                    0.982249                    0.124006
09-12-2016 09:00:06.190.000                     35861.4                     58928.2                    -27909.3                   -0.515199                    0.982249                    0.124007
